Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Option4 Name,Option4 Value,Option5 Name,Option5 Value,Option6 Name,Option6 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Metal (product.metafields.custom.metal),Metal Type (product.metafields.custom.metal_type),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
"delavia-freeform-round-cut-delicate-ring


",Delavia Freeform Round Cut Delicate Ring,"Delindora Infinite Round Cut Lab Diamond Ring: Symbol of Eternal Love

Embrace the timeless beauty of the Delindora Infinite Round Cut Lab Diamond Ring. This exquisite ring, SKU: GJLR-001, is more than just jewelry; it's a symbol of everlasting love and commitment. Featuring a dazzling round cut lab-grown diamond, this ring captures the essence of romance with its delicate and intricate design.

Key Features:

Brilliant Lab-Grown Diamond: The centerpiece of this ring is a stunning 0.25-carat round cut lab diamond, boasting VVS-VS clarity and an EF color grade, ensuring exceptional brilliance and sparkle.
Infinity Shank Design: The elegant infinity-type shank beautifully symbolizes the endless bond between two hearts, making it the perfect engagement or anniversary ring.
Delicate Craftsmanship: Weighing 2.09 grams, this ring is meticulously crafted to ensure both beauty and durability.
Ethical and Sustainable: Lab-grown diamonds offer an ethical and sustainable alternative, providing the same brilliance and quality as mined diamonds.
Why Choose the Delindora Infinite Ring?

This ring is designed for those who appreciate fine jewelry and the profound meaning behind it. The flowing design enhances the diamond's natural brilliance, creating a mesmerizing effect that draws attention. Whether as an engagement ring, a gift for a loved one, or a personal indulgence, the Delindora Infinite Round Cut Lab Diamond Ring is a cherished keepsake.",Geer,Uncategorized,,woo_import_7,TRUE,Metal,14k,Metal,White Gold,Diamond Quality,VVS,Diamond Tone,EF,,,,,GJLR-001-14k-W-VVS-EF,0,,deny,manual,"17,552","17,552",TRUE,TRUE,,https://geer.in/StyleImages//GJLR/GJLR-001@W1.jpg?guid=791790d5-d3fc-41e6-9010-4303182394c9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://geer.in/StyleImages//GJLR/GJLR-001@W1.jpg?guid=791790d5-d3fc-41e6-9010-4303182394c9,lb,,,,,,,,,,,,draft
"delavia-freeform-round-cut-delicate-ring


",Delavia Freeform Round Cut Delicate Ring,,,,,,,,14k,,Yellow Gold,,VVS,,EF,,,,,GJLR-001-14k-Y-VVS-EF,0,,deny,manual,"17,552","17,552",TRUE,TRUE,,https://geer.in/StyleImages//GJLR/GJLR-001@W2.jpg?guid=1c1b0522-0700-459b-9850-4672762355e5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://geer.in/StyleImages//GJLR/GJLR-001@Y1.jpg?guid=3a0a12d2-e561-4926-808a-6bc841646464,lb,,,,,,,,,,,,
"delavia-freeform-round-cut-delicate-ring


",Delavia Freeform Round Cut Delicate Ring,,,,,,,,14k,,Rose Gold,,VVS,,EF,,,,,GJLR-001-14k-R-VVS-EF,0,,deny,manual,"17,552","17,552",TRUE,TRUE,,https://geer.in/StyleImages//GJLR/GJLR-001@W3.jpg?guid=6a546540-8fe5-451a-b0ce-e143f29d802c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://geer.in/StyleImages//GJLR/GJLR-001@R1.jpg?guid=1cf5d9e9-c852-4d0d-a6a9-a222c49d31d5,lb,,,,,,,,,,,,
"delavia-freeform-round-cut-delicate-ring


",Delavia Freeform Round Cut Delicate Ring,,,,,,,,18k,,White Gold,,VVS,,EF,,,,,GJLR-001-18k-W-VVS-EF,0,,deny,manual,"23,098","23,098",TRUE,TRUE,,https://geer.in/StyleImages//GJLR/GJLR-001@W4.jpg?guid=33980d9a-81dc-42fe-949d-4984f3d7b8b9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://geer.in/StyleImages//GJLR/GJLR-001@W1.jpg?guid=791790d5-d3fc-41e6-9010-4303182394c9,lb,,,,,,,,,,,,
"delavia-freeform-round-cut-delicate-ring


",Delavia Freeform Round Cut Delicate Ring,,,,,,,,18k,,Yellow Gold,,VVS,,EF,,,,,GJLR-001-18k-Y-VVS-EF,0,,deny,manual,"23,098","23,098",TRUE,TRUE,,https://geer.in/StyleImages//GJLR/GJLR-001@Y1.jpg?guid=3a0a12d2-e561-4926-808a-6bc841646464,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://geer.in/StyleImages//GJLR/GJLR-001@Y1.jpg?guid=3a0a12d2-e561-4926-808a-6bc841646464,lb,,,,,,,,,,,,
"delavia-freeform-round-cut-delicate-ring


",Delavia Freeform Round Cut Delicate Ring,,,,,,,,18k,,Rose Gold,,VVS,,EF,,,,,GJLR-001-18k-R-VVS-EF,0,,deny,manual,"23,098","23,098",TRUE,TRUE,,https://geer.in/StyleImages//GJLR/GJLR-001@Y2.jpg?guid=1976033d-fd5b-4f95-959f-2152fd847bb2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://geer.in/StyleImages//GJLR/GJLR-001@R1.jpg?guid=1cf5d9e9-c852-4d0d-a6a9-a222c49d31d5,lb,,,,,,,,,,,,
"delavia-freeform-round-cut-delicate-ring


",Delavia Freeform Round Cut Delicate Ring,,,,,,,,14k,,White Gold,,VVS-VS,,EF,,,,,GJLR-001-14k-W-VVS-VS-EF,0,,deny,manual,"16,802","16,802",TRUE,TRUE,,https://geer.in/StyleImages//GJLR/GJLR-001@Y3.jpg?guid=843f8713-e107-4078-a86d-461bb9cde991,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://geer.in/StyleImages//GJLR/GJLR-001@W1.jpg?guid=791790d5-d3fc-41e6-9010-4303182394c9,lb,,,,,,,,,,,,
"delavia-freeform-round-cut-delicate-ring


",Delavia Freeform Round Cut Delicate Ring,,,,,,,,14k,,Yellow Gold,,VVS-VS,,EF,,,,,GJLR-001-14k-Y-VVS-VS-EF,0,,deny,manual,"16,802","16,802",TRUE,TRUE,,https://geer.in/StyleImages//GJLR/GJLR-001@Y4.jpg?guid=e48ebb1d-33b0-48ed-bf6a-ad783efe57df,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://geer.in/StyleImages//GJLR/GJLR-001@Y1.jpg?guid=3a0a12d2-e561-4926-808a-6bc841646464,lb,,,,,,,,,,,,
"delavia-freeform-round-cut-delicate-ring


",Delavia Freeform Round Cut Delicate Ring,,,,,,,,14k,,Rose Gold,,VVS-VS,,EF,,,,,GJLR-001-14k-R-VVS-VS-EF,0,,deny,manual,"16,802","16,802",TRUE,TRUE,,https://geer.in/StyleImages//GJLR/GJLR-001@R1.jpg?guid=1cf5d9e9-c852-4d0d-a6a9-a222c49d31d5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://geer.in/StyleImages//GJLR/GJLR-001@R1.jpg?guid=1cf5d9e9-c852-4d0d-a6a9-a222c49d31d5,lb,,,,,,,,,,,,
"delavia-freeform-round-cut-delicate-ring


",Delavia Freeform Round Cut Delicate Ring,,,,,,,,18k,,White Gold,,VVS-VS,,EF,,,,,GJLR-001-18k-W-VVS-VS-EF,0,,deny,manual,"22,348","22,348",TRUE,TRUE,,https://geer.in/StyleImages//GJLR/GJLR-001@R2.jpg?guid=cee823b5-7097-402e-998c-b748a7f52d4a,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://geer.in/StyleImages//GJLR/GJLR-001@W1.jpg?guid=791790d5-d3fc-41e6-9010-4303182394c9,lb,,,,,,,,,,,,
