Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
2-50-ctw-round-shape-gold-halo-studs-earrings,2.50 ctw Round Shape Gold Halo Studs Earrings,"",Geer,Apparel & Accessories > Jewelry > Earrings,"",earrings,true,Title,Default Title,,,,,,,,,0.0,shopify,2,continue,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0695/7524/6002/files/earring3.png?v=1741163986,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
2-54-ctw-round-shape-solitaire-studs-earrings,2.54 ctw Round Shape Solitaire Studs Earrings,"",Geer,Apparel & Accessories > Jewelry > Earrings,"",earrings,true,Metal Quality,18K,,Metal Color,Yellow Gold,,Diamond Quality & Tone,VVS-EF,,GJER-002,640.0,shopify,2,continue,manual,59751.00,81888.00,true,false,"",https://cdn.shopify.com/s/files/1/0695/7524/6002/files/earring4.png?v=1741164003,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,18K,,,Yellow Gold,,,VVS-VS-EF,,"",0.0,shopify,20,continue,manual,59751.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,18K,,,Yellow Gold,,,VVS-GH,,"",0.0,shopify,20,continue,manual,59751.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,18K,,,Yellow Gold,,,VVS-VS-GH,,"",0.0,shopify,200,continue,manual,59751.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,18K,,,White Gold,,,VVS-EF,,"",0.0,shopify,20,continue,manual,59751.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,18K,,,White Gold,,,VVS-VS-EF,,"",0.0,shopify,20,continue,manual,59751.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,18K,,,White Gold,,,VVS-GH,,"",0.0,shopify,200,continue,manual,59751.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,18K,,,White Gold,,,VVS-VS-GH,,"",0.0,shopify,12,continue,manual,59751.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,18K,,,Rose Gold,,,VVS-EF,,"",0.0,shopify,20,continue,manual,59751.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,18K,,,Rose Gold,,,VVS-VS-EF,,"",0.0,shopify,20,continue,manual,59751.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,18K,,,Rose Gold,,,VVS-GH,,"",0.0,shopify,12,continue,manual,59751.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,18K,,,Rose Gold,,,VVS-VS-GH,,"",0.0,shopify,11,continue,manual,59751.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,14K,,,Yellow Gold,,,VVS-EF,,"",0.0,shopify,20,continue,manual,53878.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,14K,,,Yellow Gold,,,VVS-VS-EF,,"",0.0,shopify,12,continue,manual,53878.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,14K,,,Yellow Gold,,,VVS-GH,,"",0.0,shopify,20,continue,manual,53878.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,14K,,,Yellow Gold,,,VVS-VS-GH,,"",0.0,shopify,20,continue,manual,53878.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,14K,,,White Gold,,,VVS-EF,,"",0.0,shopify,20,continue,manual,53878.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,14K,,,White Gold,,,VVS-VS-EF,,"",0.0,shopify,20,continue,manual,53878.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,14K,,,White Gold,,,VVS-GH,,"",0.0,shopify,20,continue,manual,53878.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,14K,,,White Gold,,,VVS-VS-GH,,"",0.0,shopify,20,continue,manual,53878.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,14K,,,Rose Gold,,,VVS-EF,,"",0.0,shopify,14,continue,manual,53878.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,14K,,,Rose Gold,,,VVS-VS-EF,,"",0.0,shopify,13,continue,manual,53878.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,14K,,,Rose Gold,,,VVS-GH,,"",0.0,shopify,20,continue,manual,53878.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2-54-ctw-round-shape-solitaire-studs-earrings,,,,,,,,,14K,,,Rose Gold,,,VVS-VS-GH,,"",0.0,shopify,20,continue,manual,53878.00,81888.00,true,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
luxe-drop-emerald-cut-diamond-earrings,2Ct Round Shape Fancy Studs Earrings,"",Geer,Apparel & Accessories > Jewelry > Earrings,"",earrings,true,Title,Default Title,,,,,,,,,0.0,shopify,2,continue,manual,0.00,,true,true,,https://cdn.shopify.com/s/files/1/0695/7524/6002/files/earring1.png?v=1741163383,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
2ct-round-shape-fancy-studs-earrings,Luxe Drop Emerald-Cut Diamond Earrings,"",Geer,Apparel & Accessories > Jewelry > Earrings,"",earrings,true,Title,Default Title,,,,,,,,"",0.0,shopify,2,continue,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/0695/7524/6002/files/earring2.png?v=1741163780,1,"",false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
